A112109 - Number of Workers in household (6) (Households),,,
Current date: 11/15/2022 12:36:46 PM (Eastern Standard Time),,,
RESIDENCE,Number of Workers in Household 6,Output,Households
"TAZ 00000022, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000022, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000022, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000022, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000022, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000022, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000022, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000022, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000023, Honolulu County, Hawaii","Total, number of workers in household",Estimate,525
"TAZ 00000023, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,75
"TAZ 00000023, Honolulu County, Hawaii",0 workers,Estimate,175
"TAZ 00000023, Honolulu County, Hawaii",0 workers,Margin of Error,46
"TAZ 00000023, Honolulu County, Hawaii",1 worker,Estimate,190
"TAZ 00000023, Honolulu County, Hawaii",1 worker,Margin of Error,76
"TAZ 00000023, Honolulu County, Hawaii",2 workers,Estimate,130
"TAZ 00000023, Honolulu County, Hawaii",2 workers,Margin of Error,69
"TAZ 00000023, Honolulu County, Hawaii",3 workers,Estimate,30
"TAZ 00000023, Honolulu County, Hawaii",3 workers,Margin of Error,31
"TAZ 00000023, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000023, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000024, Honolulu County, Hawaii","Total, number of workers in household",Estimate,405
"TAZ 00000024, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,108
"TAZ 00000024, Honolulu County, Hawaii",0 workers,Estimate,40
"TAZ 00000024, Honolulu County, Hawaii",0 workers,Margin of Error,38
"TAZ 00000024, Honolulu County, Hawaii",1 worker,Estimate,80
"TAZ 00000024, Honolulu County, Hawaii",1 worker,Margin of Error,52
"TAZ 00000024, Honolulu County, Hawaii",2 workers,Estimate,190
"TAZ 00000024, Honolulu County, Hawaii",2 workers,Margin of Error,105
"TAZ 00000024, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000024, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000024, Honolulu County, Hawaii",4-or-more workers,Estimate,90
"TAZ 00000024, Honolulu County, Hawaii",4-or-more workers,Margin of Error,70
"TAZ 00000025, Honolulu County, Hawaii","Total, number of workers in household",Estimate,885
"TAZ 00000025, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,117
"TAZ 00000025, Honolulu County, Hawaii",0 workers,Estimate,535
"TAZ 00000025, Honolulu County, Hawaii",0 workers,Margin of Error,110
"TAZ 00000025, Honolulu County, Hawaii",1 worker,Estimate,150
