A112109 - Number of Workers in household (6) (Households),,,
Current date: 11/15/2022 12:36:46 PM (Eastern Standard Time),,,
RESIDENCE,Number of Workers in Household 6,Output,Households
"TAZ 00000289, Honolulu County, Hawaii",1 worker,Margin of Error,38
"TAZ 00000289, Honolulu County, Hawaii",2 workers,Estimate,55
"TAZ 00000289, Honolulu County, Hawaii",2 workers,Margin of Error,37
"TAZ 00000289, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000289, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000289, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000289, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000290, Honolulu County, Hawaii","Total, number of workers in household",Estimate,650
"TAZ 00000290, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,73
"TAZ 00000290, Honolulu County, Hawaii",0 workers,Estimate,165
"TAZ 00000290, Honolulu County, Hawaii",0 workers,Margin of Error,57
"TAZ 00000290, Honolulu County, Hawaii",1 worker,Estimate,170
"TAZ 00000290, Honolulu County, Hawaii",1 worker,Margin of Error,71
"TAZ 00000290, Honolulu County, Hawaii",2 workers,Estimate,210
"TAZ 00000290, Honolulu County, Hawaii",2 workers,Margin of Error,80
"TAZ 00000290, Honolulu County, Hawaii",3 workers,Estimate,50
"TAZ 00000290, Honolulu County, Hawaii",3 workers,Margin of Error,41
"TAZ 00000290, Honolulu County, Hawaii",4-or-more workers,Estimate,60
"TAZ 00000290, Honolulu County, Hawaii",4-or-more workers,Margin of Error,48
"TAZ 00000291, Honolulu County, Hawaii","Total, number of workers in household",Estimate,65
"TAZ 00000291, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,28
"TAZ 00000291, Honolulu County, Hawaii",0 workers,Estimate,10
"TAZ 00000291, Honolulu County, Hawaii",0 workers,Margin of Error,15
"TAZ 00000291, Honolulu County, Hawaii",1 worker,Estimate,45
"TAZ 00000291, Honolulu County, Hawaii",1 worker,Margin of Error,30
"TAZ 00000291, Honolulu County, Hawaii",2 workers,Estimate,15
"TAZ 00000291, Honolulu County, Hawaii",2 workers,Margin of Error,21
"TAZ 00000291, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000291, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000291, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000291, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000292, Honolulu County, Hawaii","Total, number of workers in household",Estimate,75
"TAZ 00000292, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,24
"TAZ 00000292, Honolulu County, Hawaii",0 workers,Estimate,35
"TAZ 00000292, Honolulu County, Hawaii",0 workers,Margin of Error,25
"TAZ 00000292, Honolulu County, Hawaii",1 worker,Estimate,20
"TAZ 00000292, Honolulu County, Hawaii",1 worker,Margin of Error,23
"TAZ 00000292, Honolulu County, Hawaii",2 workers,Estimate,15
"TAZ 00000292, Honolulu County, Hawaii",2 workers,Margin of Error,20
"TAZ 00000292, Honolulu County, Hawaii",3 workers,Estimate,10
"TAZ 00000292, Honolulu County, Hawaii",3 workers,Margin of Error,13
"TAZ 00000292, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000292, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000293, Honolulu County, Hawaii","Total, number of workers in household",Estimate,180
"TAZ 00000293, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,49
"TAZ 00000293, Honolulu County, Hawaii",0 workers,Estimate,60
"TAZ 00000293, Honolulu County, Hawaii",0 workers,Margin of Error,37
"TAZ 00000293, Honolulu County, Hawaii",1 worker,Estimate,45
"TAZ 00000293, Honolulu County, Hawaii",1 worker,Margin of Error,36
"TAZ 00000293, Honolulu County, Hawaii",2 workers,Estimate,55
"TAZ 00000293, Honolulu County, Hawaii",2 workers,Margin of Error,33
"TAZ 00000293, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000293, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000293, Honolulu County, Hawaii",4-or-more workers,Estimate,20
"TAZ 00000293, Honolulu County, Hawaii",4-or-more workers,Margin of Error,31
"TAZ 00000294, Honolulu County, Hawaii","Total, number of workers in household",Estimate,0
"TAZ 00000294, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,11
"TAZ 00000294, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000294, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000294, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000294, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000294, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000294, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000294, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000294, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000294, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000294, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000295, Honolulu County, Hawaii","Total, number of workers in household",Estimate,760
"TAZ 00000295, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,104
"TAZ 00000295, Honolulu County, Hawaii",0 workers,Estimate,170
"TAZ 00000295, Honolulu County, Hawaii",0 workers,Margin of Error,70
"TAZ 00000295, Honolulu County, Hawaii",1 worker,Estimate,255
"TAZ 00000295, Honolulu County, Hawaii",1 worker,Margin of Error,96
"TAZ 00000295, Honolulu County, Hawaii",2 workers,Estimate,195
"TAZ 00000295, Honolulu County, Hawaii",2 workers,Margin of Error,67
"TAZ 00000295, Honolulu County, Hawaii",3 workers,Estimate,105
"TAZ 00000295, Honolulu County, Hawaii",3 workers,Margin of Error,45
"TAZ 00000295, Honolulu County, Hawaii",4-or-more workers,Estimate,25
"TAZ 00000295, Honolulu County, Hawaii",4-or-more workers,Margin of Error,26
"TAZ 00000296, Honolulu County, Hawaii","Total, number of workers in household",Estimate,480
"TAZ 00000296, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,81
"TAZ 00000296, Honolulu County, Hawaii",0 workers,Estimate,135
"TAZ 00000296, Honolulu County, Hawaii",0 workers,Margin of Error,56
"TAZ 00000296, Honolulu County, Hawaii",1 worker,Estimate,75
"TAZ 00000296, Honolulu County, Hawaii",1 worker,Margin of Error,35
"TAZ 00000296, Honolulu County, Hawaii",2 workers,Estimate,165
"TAZ 00000296, Honolulu County, Hawaii",2 workers,Margin of Error,75
"TAZ 00000296, Honolulu County, Hawaii",3 workers,Estimate,30
"TAZ 00000296, Honolulu County, Hawaii",3 workers,Margin of Error,28
"TAZ 00000296, Honolulu County, Hawaii",4-or-more workers,Estimate,75
"TAZ 00000296, Honolulu County, Hawaii",4-or-more workers,Margin of Error,51
"TAZ 00000297, Honolulu County, Hawaii","Total, number of workers in household",Estimate,210
"TAZ 00000297, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,58
"TAZ 00000297, Honolulu County, Hawaii",0 workers,Estimate,50
"TAZ 00000297, Honolulu County, Hawaii",0 workers,Margin of Error,30
"TAZ 00000297, Honolulu County, Hawaii",1 worker,Estimate,85
"TAZ 00000297, Honolulu County, Hawaii",1 worker,Margin of Error,52
"TAZ 00000297, Honolulu County, Hawaii",2 workers,Estimate,55
"TAZ 00000297, Honolulu County, Hawaii",2 workers,Margin of Error,44
"TAZ 00000297, Honolulu County, Hawaii",3 workers,Estimate,15
"TAZ 00000297, Honolulu County, Hawaii",3 workers,Margin of Error,22
"TAZ 00000297, Honolulu County, Hawaii",4-or-more workers,Estimate,10
"TAZ 00000297, Honolulu County, Hawaii",4-or-more workers,Margin of Error,16
"TAZ 00000298, Honolulu County, Hawaii","Total, number of workers in household",Estimate,500
"TAZ 00000298, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,63
"TAZ 00000298, Honolulu County, Hawaii",0 workers,Estimate,240
"TAZ 00000298, Honolulu County, Hawaii",0 workers,Margin of Error,57
"TAZ 00000298, Honolulu County, Hawaii",1 worker,Estimate,120
"TAZ 00000298, Honolulu County, Hawaii",1 worker,Margin of Error,40
"TAZ 00000298, Honolulu County, Hawaii",2 workers,Estimate,100
"TAZ 00000298, Honolulu County, Hawaii",2 workers,Margin of Error,53
"TAZ 00000298, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000298, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000298, Honolulu County, Hawaii",4-or-more workers,Estimate,45
"TAZ 00000298, Honolulu County, Hawaii",4-or-more workers,Margin of Error,37
"TAZ 00000299, Honolulu County, Hawaii","Total, number of workers in household",Estimate,410
"TAZ 00000299, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,66
"TAZ 00000299, Honolulu County, Hawaii",0 workers,Estimate,60
"TAZ 00000299, Honolulu County, Hawaii",0 workers,Margin of Error,43
"TAZ 00000299, Honolulu County, Hawaii",1 worker,Estimate,175
"TAZ 00000299, Honolulu County, Hawaii",1 worker,Margin of Error,73
"TAZ 00000299, Honolulu County, Hawaii",2 workers,Estimate,120
"TAZ 00000299, Honolulu County, Hawaii",2 workers,Margin of Error,69
"TAZ 00000299, Honolulu County, Hawaii",3 workers,Estimate,35
"TAZ 00000299, Honolulu County, Hawaii",3 workers,Margin of Error,38
"TAZ 00000299, Honolulu County, Hawaii",4-or-more workers,Estimate,15
"TAZ 00000299, Honolulu County, Hawaii",4-or-more workers,Margin of Error,19
"TAZ 00000300, Honolulu County, Hawaii","Total, number of workers in household",Estimate,410
"TAZ 00000300, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,83
"TAZ 00000300, Honolulu County, Hawaii",0 workers,Estimate,145
"TAZ 00000300, Honolulu County, Hawaii",0 workers,Margin of Error,69
"TAZ 00000300, Honolulu County, Hawaii",1 worker,Estimate,140
"TAZ 00000300, Honolulu County, Hawaii",1 worker,Margin of Error,73
"TAZ 00000300, Honolulu County, Hawaii",2 workers,Estimate,75
"TAZ 00000300, Honolulu County, Hawaii",2 workers,Margin of Error,49
"TAZ 00000300, Honolulu County, Hawaii",3 workers,Estimate,45
"TAZ 00000300, Honolulu County, Hawaii",3 workers,Margin of Error,41
"TAZ 00000300, Honolulu County, Hawaii",4-or-more workers,Estimate,4
"TAZ 00000300, Honolulu County, Hawaii",4-or-more workers,Margin of Error,5
"TAZ 00000301, Honolulu County, Hawaii","Total, number of workers in household",Estimate,280
"TAZ 00000301, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,74
"TAZ 00000301, Honolulu County, Hawaii",0 workers,Estimate,80
"TAZ 00000301, Honolulu County, Hawaii",0 workers,Margin of Error,35
"TAZ 00000301, Honolulu County, Hawaii",1 worker,Estimate,45
"TAZ 00000301, Honolulu County, Hawaii",1 worker,Margin of Error,36
"TAZ 00000301, Honolulu County, Hawaii",2 workers,Estimate,105
"TAZ 00000301, Honolulu County, Hawaii",2 workers,Margin of Error,64
"TAZ 00000301, Honolulu County, Hawaii",3 workers,Estimate,20
"TAZ 00000301, Honolulu County, Hawaii",3 workers,Margin of Error,18
"TAZ 00000301, Honolulu County, Hawaii",4-or-more workers,Estimate,30
"TAZ 00000301, Honolulu County, Hawaii",4-or-more workers,Margin of Error,42
"TAZ 00000302, Honolulu County, Hawaii","Total, number of workers in household",Estimate,580
"TAZ 00000302, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,57
"TAZ 00000302, Honolulu County, Hawaii",0 workers,Estimate,135
"TAZ 00000302, Honolulu County, Hawaii",0 workers,Margin of Error,45
"TAZ 00000302, Honolulu County, Hawaii",1 worker,Estimate,165
"TAZ 00000302, Honolulu County, Hawaii",1 worker,Margin of Error,49
"TAZ 00000302, Honolulu County, Hawaii",2 workers,Estimate,140
"TAZ 00000302, Honolulu County, Hawaii",2 workers,Margin of Error,41
"TAZ 00000302, Honolulu County, Hawaii",3 workers,Estimate,95
"TAZ 00000302, Honolulu County, Hawaii",3 workers,Margin of Error,39
"TAZ 00000302, Honolulu County, Hawaii",4-or-more workers,Estimate,40
"TAZ 00000302, Honolulu County, Hawaii",4-or-more workers,Margin of Error,25
"TAZ 00000303, Honolulu County, Hawaii","Total, number of workers in household",Estimate,315
"TAZ 00000303, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,54
"TAZ 00000303, Honolulu County, Hawaii",0 workers,Estimate,55
"TAZ 00000303, Honolulu County, Hawaii",0 workers,Margin of Error,34
"TAZ 00000303, Honolulu County, Hawaii",1 worker,Estimate,130
"TAZ 00000303, Honolulu County, Hawaii",1 worker,Margin of Error,38
"TAZ 00000303, Honolulu County, Hawaii",2 workers,Estimate,80
"TAZ 00000303, Honolulu County, Hawaii",2 workers,Margin of Error,43
"TAZ 00000303, Honolulu County, Hawaii",3 workers,Estimate,40
"TAZ 00000303, Honolulu County, Hawaii",3 workers,Margin of Error,23
"TAZ 00000303, Honolulu County, Hawaii",4-or-more workers,Estimate,4
"TAZ 00000303, Honolulu County, Hawaii",4-or-more workers,Margin of Error,13
"TAZ 00000304, Honolulu County, Hawaii","Total, number of workers in household",Estimate,65
"TAZ 00000304, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,26
"TAZ 00000304, Honolulu County, Hawaii",0 workers,Estimate,30
"TAZ 00000304, Honolulu County, Hawaii",0 workers,Margin of Error,17
"TAZ 00000304, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000304, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000304, Honolulu County, Hawaii",2 workers,Estimate,20
"TAZ 00000304, Honolulu County, Hawaii",2 workers,Margin of Error,32
"TAZ 00000304, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000304, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000304, Honolulu County, Hawaii",4-or-more workers,Estimate,20
"TAZ 00000304, Honolulu County, Hawaii",4-or-more workers,Margin of Error,16
"TAZ 00000305, Honolulu County, Hawaii","Total, number of workers in household",Estimate,595
"TAZ 00000305, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,100
"TAZ 00000305, Honolulu County, Hawaii",0 workers,Estimate,325
"TAZ 00000305, Honolulu County, Hawaii",0 workers,Margin of Error,85
"TAZ 00000305, Honolulu County, Hawaii",1 worker,Estimate,125
"TAZ 00000305, Honolulu County, Hawaii",1 worker,Margin of Error,74
"TAZ 00000305, Honolulu County, Hawaii",2 workers,Estimate,35
"TAZ 00000305, Honolulu County, Hawaii",2 workers,Margin of Error,32
"TAZ 00000305, Honolulu County, Hawaii",3 workers,Estimate,80
"TAZ 00000305, Honolulu County, Hawaii",3 workers,Margin of Error,65
"TAZ 00000305, Honolulu County, Hawaii",4-or-more workers,Estimate,20
"TAZ 00000305, Honolulu County, Hawaii",4-or-more workers,Margin of Error,25
"TAZ 00000306, Honolulu County, Hawaii","Total, number of workers in household",Estimate,290
"TAZ 00000306, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,88
"TAZ 00000306, Honolulu County, Hawaii",0 workers,Estimate,30
"TAZ 00000306, Honolulu County, Hawaii",0 workers,Margin of Error,34
"TAZ 00000306, Honolulu County, Hawaii",1 worker,Estimate,75
"TAZ 00000306, Honolulu County, Hawaii",1 worker,Margin of Error,55
"TAZ 00000306, Honolulu County, Hawaii",2 workers,Estimate,75
"TAZ 00000306, Honolulu County, Hawaii",2 workers,Margin of Error,47
"TAZ 00000306, Honolulu County, Hawaii",3 workers,Estimate,40
"TAZ 00000306, Honolulu County, Hawaii",3 workers,Margin of Error,38
"TAZ 00000306, Honolulu County, Hawaii",4-or-more workers,Estimate,70
"TAZ 00000306, Honolulu County, Hawaii",4-or-more workers,Margin of Error,41
"TAZ 00000307, Honolulu County, Hawaii","Total, number of workers in household",Estimate,105
"TAZ 00000307, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,52
"TAZ 00000307, Honolulu County, Hawaii",0 workers,Estimate,15
"TAZ 00000307, Honolulu County, Hawaii",0 workers,Margin of Error,30
"TAZ 00000307, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000307, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000307, Honolulu County, Hawaii",2 workers,Estimate,25
"TAZ 00000307, Honolulu County, Hawaii",2 workers,Margin of Error,31
"TAZ 00000307, Honolulu County, Hawaii",3 workers,Estimate,4
"TAZ 00000307, Honolulu County, Hawaii",3 workers,Margin of Error,16
"TAZ 00000307, Honolulu County, Hawaii",4-or-more workers,Estimate,55
"TAZ 00000307, Honolulu County, Hawaii",4-or-more workers,Margin of Error,66
"TAZ 00000308, Honolulu County, Hawaii","Total, number of workers in household",Estimate,145
"TAZ 00000308, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,51
"TAZ 00000308, Honolulu County, Hawaii",0 workers,Estimate,40
"TAZ 00000308, Honolulu County, Hawaii",0 workers,Margin of Error,38
"TAZ 00000308, Honolulu County, Hawaii",1 worker,Estimate,60
"TAZ 00000308, Honolulu County, Hawaii",1 worker,Margin of Error,38
"TAZ 00000308, Honolulu County, Hawaii",2 workers,Estimate,15
"TAZ 00000308, Honolulu County, Hawaii",2 workers,Margin of Error,17
"TAZ 00000308, Honolulu County, Hawaii",3 workers,Estimate,15
"TAZ 00000308, Honolulu County, Hawaii",3 workers,Margin of Error,24
"TAZ 00000308, Honolulu County, Hawaii",4-or-more workers,Estimate,15
"TAZ 00000308, Honolulu County, Hawaii",4-or-more workers,Margin of Error,24
"TAZ 00000309, Honolulu County, Hawaii","Total, number of workers in household",Estimate,590
"TAZ 00000309, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,99
"TAZ 00000309, Honolulu County, Hawaii",0 workers,Estimate,185
"TAZ 00000309, Honolulu County, Hawaii",0 workers,Margin of Error,67
"TAZ 00000309, Honolulu County, Hawaii",1 worker,Estimate,95
"TAZ 00000309, Honolulu County, Hawaii",1 worker,Margin of Error,52
"TAZ 00000309, Honolulu County, Hawaii",2 workers,Estimate,255
"TAZ 00000309, Honolulu County, Hawaii",2 workers,Margin of Error,95
"TAZ 00000309, Honolulu County, Hawaii",3 workers,Estimate,15
"TAZ 00000309, Honolulu County, Hawaii",3 workers,Margin of Error,21
"TAZ 00000309, Honolulu County, Hawaii",4-or-more workers,Estimate,45
"TAZ 00000309, Honolulu County, Hawaii",4-or-more workers,Margin of Error,35
"TAZ 00000310, Honolulu County, Hawaii","Total, number of workers in household",Estimate,970
"TAZ 00000310, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,114
"TAZ 00000310, Honolulu County, Hawaii",0 workers,Estimate,225
"TAZ 00000310, Honolulu County, Hawaii",0 workers,Margin of Error,73
"TAZ 00000310, Honolulu County, Hawaii",1 worker,Estimate,130
"TAZ 00000310, Honolulu County, Hawaii",1 worker,Margin of Error,73
"TAZ 00000310, Honolulu County, Hawaii",2 workers,Estimate,395
"TAZ 00000310, Honolulu County, Hawaii",2 workers,Margin of Error,89
"TAZ 00000310, Honolulu County, Hawaii",3 workers,Estimate,165
"TAZ 00000310, Honolulu County, Hawaii",3 workers,Margin of Error,99
"TAZ 00000310, Honolulu County, Hawaii",4-or-more workers,Estimate,55
"TAZ 00000310, Honolulu County, Hawaii",4-or-more workers,Margin of Error,37
"TAZ 00000311, Honolulu County, Hawaii","Total, number of workers in household",Estimate,90
"TAZ 00000311, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,29
"TAZ 00000311, Honolulu County, Hawaii",0 workers,Estimate,20
"TAZ 00000311, Honolulu County, Hawaii",0 workers,Margin of Error,22
"TAZ 00000311, Honolulu County, Hawaii",1 worker,Estimate,45
"TAZ 00000311, Honolulu County, Hawaii",1 worker,Margin of Error,24
"TAZ 00000311, Honolulu County, Hawaii",2 workers,Estimate,20
"TAZ 00000311, Honolulu County, Hawaii",2 workers,Margin of Error,23
"TAZ 00000311, Honolulu County, Hawaii",3 workers,Estimate,4
"TAZ 00000311, Honolulu County, Hawaii",3 workers,Margin of Error,9
"TAZ 00000311, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000311, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000312, Honolulu County, Hawaii","Total, number of workers in household",Estimate,965
"TAZ 00000312, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,99
"TAZ 00000312, Honolulu County, Hawaii",0 workers,Estimate,135
"TAZ 00000312, Honolulu County, Hawaii",0 workers,Margin of Error,73
"TAZ 00000312, Honolulu County, Hawaii",1 worker,Estimate,245
"TAZ 00000312, Honolulu County, Hawaii",1 worker,Margin of Error,96
"TAZ 00000312, Honolulu County, Hawaii",2 workers,Estimate,195
"TAZ 00000312, Honolulu County, Hawaii",2 workers,Margin of Error,74
"TAZ 00000312, Honolulu County, Hawaii",3 workers,Estimate,150
"TAZ 00000312, Honolulu County, Hawaii",3 workers,Margin of Error,85
"TAZ 00000312, Honolulu County, Hawaii",4-or-more workers,Estimate,240
"TAZ 00000312, Honolulu County, Hawaii",4-or-more workers,Margin of Error,102
"TAZ 00000313, Honolulu County, Hawaii","Total, number of workers in household",Estimate,515
"TAZ 00000313, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,91
"TAZ 00000313, Honolulu County, Hawaii",0 workers,Estimate,60
"TAZ 00000313, Honolulu County, Hawaii",0 workers,Margin of Error,56
"TAZ 00000313, Honolulu County, Hawaii",1 worker,Estimate,90
"TAZ 00000313, Honolulu County, Hawaii",1 worker,Margin of Error,60
"TAZ 00000313, Honolulu County, Hawaii",2 workers,Estimate,110
"TAZ 00000313, Honolulu County, Hawaii",2 workers,Margin of Error,64
"TAZ 00000313, Honolulu County, Hawaii",3 workers,Estimate,125
"TAZ 00000313, Honolulu County, Hawaii",3 workers,Margin of Error,66
"TAZ 00000313, Honolulu County, Hawaii",4-or-more workers,Estimate,130
"TAZ 00000313, Honolulu County, Hawaii",4-or-more workers,Margin of Error,86
"TAZ 00000314, Honolulu County, Hawaii","Total, number of workers in household",Estimate,445
"TAZ 00000314, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,26
"TAZ 00000314, Honolulu County, Hawaii",0 workers,Estimate,30
"TAZ 00000314, Honolulu County, Hawaii",0 workers,Margin of Error,28
"TAZ 00000314, Honolulu County, Hawaii",1 worker,Estimate,105
"TAZ 00000314, Honolulu County, Hawaii",1 worker,Margin of Error,42
"TAZ 00000314, Honolulu County, Hawaii",2 workers,Estimate,130
"TAZ 00000314, Honolulu County, Hawaii",2 workers,Margin of Error,48
"TAZ 00000314, Honolulu County, Hawaii",3 workers,Estimate,50
"TAZ 00000314, Honolulu County, Hawaii",3 workers,Margin of Error,31
"TAZ 00000314, Honolulu County, Hawaii",4-or-more workers,Estimate,125
"TAZ 00000314, Honolulu County, Hawaii",4-or-more workers,Margin of Error,41
"TAZ 00000315, Honolulu County, Hawaii","Total, number of workers in household",Estimate,385
"TAZ 00000315, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,58
"TAZ 00000315, Honolulu County, Hawaii",0 workers,Estimate,90
"TAZ 00000315, Honolulu County, Hawaii",0 workers,Margin of Error,45
"TAZ 00000315, Honolulu County, Hawaii",1 worker,Estimate,75
"TAZ 00000315, Honolulu County, Hawaii",1 worker,Margin of Error,44
"TAZ 00000315, Honolulu County, Hawaii",2 workers,Estimate,115
"TAZ 00000315, Honolulu County, Hawaii",2 workers,Margin of Error,50
"TAZ 00000315, Honolulu County, Hawaii",3 workers,Estimate,35
"TAZ 00000315, Honolulu County, Hawaii",3 workers,Margin of Error,23
"TAZ 00000315, Honolulu County, Hawaii",4-or-more workers,Estimate,70
"TAZ 00000315, Honolulu County, Hawaii",4-or-more workers,Margin of Error,32
"TAZ 00000316, Honolulu County, Hawaii","Total, number of workers in household",Estimate,535
"TAZ 00000316, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,103
"TAZ 00000316, Honolulu County, Hawaii",0 workers,Estimate,140
"TAZ 00000316, Honolulu County, Hawaii",0 workers,Margin of Error,56
"TAZ 00000316, Honolulu County, Hawaii",1 worker,Estimate,245
"TAZ 00000316, Honolulu County, Hawaii",1 worker,Margin of Error,74
"TAZ 00000316, Honolulu County, Hawaii",2 workers,Estimate,130
"TAZ 00000316, Honolulu County, Hawaii",2 workers,Margin of Error,68
"TAZ 00000316, Honolulu County, Hawaii",3 workers,Estimate,4
"TAZ 00000316, Honolulu County, Hawaii",3 workers,Margin of Error,3
"TAZ 00000316, Honolulu County, Hawaii",4-or-more workers,Estimate,20
"TAZ 00000316, Honolulu County, Hawaii",4-or-more workers,Margin of Error,23
"TAZ 00000317, Honolulu County, Hawaii","Total, number of workers in household",Estimate,"1,290"
"TAZ 00000317, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,111
"TAZ 00000317, Honolulu County, Hawaii",0 workers,Estimate,245
"TAZ 00000317, Honolulu County, Hawaii",0 workers,Margin of Error,90
"TAZ 00000317, Honolulu County, Hawaii",1 worker,Estimate,395
"TAZ 00000317, Honolulu County, Hawaii",1 worker,Margin of Error,108
"TAZ 00000317, Honolulu County, Hawaii",2 workers,Estimate,375
"TAZ 00000317, Honolulu County, Hawaii",2 workers,Margin of Error,125
"TAZ 00000317, Honolulu County, Hawaii",3 workers,Estimate,125
"TAZ 00000317, Honolulu County, Hawaii",3 workers,Margin of Error,71
"TAZ 00000317, Honolulu County, Hawaii",4-or-more workers,Estimate,145
"TAZ 00000317, Honolulu County, Hawaii",4-or-more workers,Margin of Error,64
"TAZ 00000318, Honolulu County, Hawaii","Total, number of workers in household",Estimate,270
"TAZ 00000318, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,55
"TAZ 00000318, Honolulu County, Hawaii",0 workers,Estimate,45
"TAZ 00000318, Honolulu County, Hawaii",0 workers,Margin of Error,25
"TAZ 00000318, Honolulu County, Hawaii",1 worker,Estimate,90
"TAZ 00000318, Honolulu County, Hawaii",1 worker,Margin of Error,42
"TAZ 00000318, Honolulu County, Hawaii",2 workers,Estimate,55
"TAZ 00000318, Honolulu County, Hawaii",2 workers,Margin of Error,31
"TAZ 00000318, Honolulu County, Hawaii",3 workers,Estimate,15
"TAZ 00000318, Honolulu County, Hawaii",3 workers,Margin of Error,13
"TAZ 00000318, Honolulu County, Hawaii",4-or-more workers,Estimate,65
"TAZ 00000318, Honolulu County, Hawaii",4-or-more workers,Margin of Error,40
"TAZ 00000319, Honolulu County, Hawaii","Total, number of workers in household",Estimate,250
"TAZ 00000319, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,53
"TAZ 00000319, Honolulu County, Hawaii",0 workers,Estimate,40
"TAZ 00000319, Honolulu County, Hawaii",0 workers,Margin of Error,23
"TAZ 00000319, Honolulu County, Hawaii",1 worker,Estimate,60
"TAZ 00000319, Honolulu County, Hawaii",1 worker,Margin of Error,33
"TAZ 00000319, Honolulu County, Hawaii",2 workers,Estimate,35
"TAZ 00000319, Honolulu County, Hawaii",2 workers,Margin of Error,26
"TAZ 00000319, Honolulu County, Hawaii",3 workers,Estimate,85
"TAZ 00000319, Honolulu County, Hawaii",3 workers,Margin of Error,43
"TAZ 00000319, Honolulu County, Hawaii",4-or-more workers,Estimate,25
"TAZ 00000319, Honolulu County, Hawaii",4-or-more workers,Margin of Error,18
"TAZ 00000320, Honolulu County, Hawaii","Total, number of workers in household",Estimate,60
"TAZ 00000320, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,28
"TAZ 00000320, Honolulu County, Hawaii",0 workers,Estimate,4
"TAZ 00000320, Honolulu County, Hawaii",0 workers,Margin of Error,10
"TAZ 00000320, Honolulu County, Hawaii",1 worker,Estimate,25
