avg_size,siz1,siz2,siz3,siz4
3.49,0.12,0.2652,0.1914,0.4234
3.5,0.1194,0.2638,0.1913,0.4255
3.51,0.1189,0.2625,0.1911,0.4275
3.52,0.1183,0.2611,0.1909,0.4297
3.53,0.1178,0.2598,0.1908,0.4316
3.54,0.1173,0.2584,0.1906,0.4337
3.55,0.1168,0.2571,0.1904,0.4357
3.56,0.1163,0.2557,0.1902,0.4378
3.57,0.1158,0.2543,0.1901,0.4398
3.58,0.1153,0.253,0.1899,0.4418
3.59,0.1148,0.2516,0.1897,0.4439
3.6,0.1144,0.2502,0.1895,0.4459
3.61,0.1139,0.2489,0.1893,0.4479
3.62,0.1135,0.2475,0.1891,0.4499
3.63,0.1131,0.2461,0.1888,0.452
3.64,0.1127,0.2448,0.1886,0.4539
3.65,0.1123,0.2434,0.1884,0.4559
3.66,0.1119,0.242,0.1882,0.4579
3.67,0.1115,0.2407,0.188,0.4598
3.68,0.1111,0.2393,0.1877,0.4619
3.69,0.1107,0.2379,0.1875,0.4639
3.7,0.1104,0.2365,0.1872,0.4659
3.71,0.11,0.2352,0.187,0.4678
3.72,0.1097,0.2338,0.1867,0.4698
3.73,0.1093,0.2324,0.1865,0.4718
3.74,0.109,0.2311,0.1862,0.4737
3.75,0.1087,0.2297,0.1859,0.4757
3.76,0.1084,0.2284,0.1857,0.4775
3.77,0.1081,0.227,0.1854,0.4795
3.78,0.10780000000000001,0.2256,0.1851,0.4815
3.79,0.1075,0.2243,0.1848,0.4834
3.8,0.1072,0.2229,0.1846,0.4853
3.81,0.1069,0.2216,0.1843,0.4872
3.82,0.1067,0.2202,0.184,0.4891
3.83,0.1064,0.2189,0.1837,0.491
3.84,0.1062,0.2175,0.1834,0.4929
3.85,0.1059,0.2162,0.1831,0.4948
3.86,0.1057,0.2149,0.1828,0.4966
3.87,0.1055,0.2135,0.1825,0.4985
3.88,0.1052,0.2122,0.1821,0.5005
3.89,0.105,0.2109,0.1818,0.5023
3.9,0.1048,0.2096,0.1815,0.5041
3.91,0.1046,0.2082,0.1812,0.506
3.92,0.1044,0.2069,0.1808,0.5079
3.93,0.1042,0.2056,0.1805,0.5097
3.94,0.104,0.2043,0.1802,0.5115
3.95,0.1038,0.203,0.1798,0.5134
3.96,0.1036,0.2017,0.1795,0.5152
3.97,0.1034,0.2004,0.1791,0.5171
3.98,0.1033,0.1992,0.1788,0.5187
3.99,0.1031,0.1979,0.1784,0.5206
4,0.1029,0.1966,0.1781,0.5224
