TAZ,Agriculture,FIRE,Hotel,TransportConstruction,Services,Healthcare,Retail,Wholesale,Education,Manufacturing,Military,Public
551,0,8,3,1,24,12,2,0,10,13,0,0
552,0,50,0,0,0,0,0,0,22,0,0,0
553,0,18,0,17,25,71,3,0,0,0,0,0
554,0,56,0,170,186,23,105,50,1,52,0,0
555,0,465,0,555,429,107,285,129,8,235,0,166
556,4,48,0,119,80,0,14,56,0,0,0,98
557,0,0,0,11,0,40,0,0,9,0,0,0
558,0,183,0,1817,86,2,57,240,24,53,200,50
559,0,9,0,2,10,2,15,0,0,0,0,0
560,0,64,0,8,400,480,33,5,58,16,0,30
561,0,34,0,28,159,9,200,9,0,0,0,0
562,0,207,0,141,339,1360,209,54,29,18,11,0
563,0,153,0,51,110,24,51,109,0,78,0,79
564,5,131,0,326,123,0,116,245,1,134,0,0
565,0,1095,0,1654,931,630,1987,291,14,363,0,352
566,0,119,0,566,250,154,318,115,26,245,0,170
568,0,18,0,114,10,0,64,18,0,0,0,3
570,0,1,0,0,52,0,58,0,2,4,0,0
571,0,1,0,0,18,0,0,0,9,0,0,0
572,0,0,0,6,0,0,0,0,0,0,0,0
573,0,0,0,0,3,16,0,0,0,0,0,0
574,0,2,0,0,0,0,1,0,0,0,0,0
575,0,11,0,1,34,0,31,0,1,0,0,0
576,0,8,0,5,9,7,1,0,0,0,0,0
577,0,18,0,8,5,2,9,0,0,6,0,0
578,0,11,0,10,11,0,5,0,0,7,0,0
579,0,0,0,3,0,0,0,0,0,0,0,0
580,0,335,362,842,311,38,1070,497,18,219,0,69
581,0,34,0,19,4,0,3,0,0,0,0,0
582,0,3,0,5,14,0,2,0,28,0,0,0
583,0,10,0,0,17,0,4,0,0,0,0,0
585,0,120,0,465,516,4,368,561,9,153,0,0
586,0,219,0,112,24,9,21,20,0,0,0,21
587,0,0,0,0,0,0,0,0,0,0,0,28
588,0,270,0,636,628,13,270,456,0,257,8,0
589,5,53,0,160,76,124,116,39,0,134,0,0
590,0,22,4,206,95,120,76,27,77,121,0,0
591,0,0,0,0,3,0,2,0,0,0,0,0
592,0,2,0,33,0,0,0,0,0,0,0,0
593,0,0,0,1,4,2,0,0,0,0,0,0
594,3,261,0,1033,144,109,325,224,1,421,0,0
595,0,158,0,599,29,43,238,298,0,37,0,267
596,0,102,0,368,32,0,209,207,0,43,0,1000
597,7,90,0,140,75,32,119,308,0,14,0,139
598,0,8,0,0,0,14,0,0,0,0,520,0
599,0,0,0,1,5,0,0,0,0,0,0,0
600,0,1,0,0,0,0,0,0,0,0,0,0
601,0,1,0,0,0,0,0,0,0,0,0,0
602,0,9,0,18,0,31,31,0,0,0,0,0
603,0,6,0,11,8,0,0,0,0,0,0,0
604,0,0,0,4,0,3,0,0,0,0,0,0
605,0,62,0,0,190,22,101,0,30,2,0,0
606,0,3,0,11,13,3,3,0,0,0,0,0
607,0,4,0,0,0,0,0,0,0,0,0,0
608,0,0,0,2,2,0,0,0,0,0,0,0
609,0,59,0,0,14,1,0,0,26,0,0,8
610,0,18,0,8,11,6,0,0,0,0,0,0
611,0,33,0,2,8,0,2,0,0,0,0,0
612,0,65,0,10,574,38,1127,4,20,0,8,0
613,0,3,0,0,50,2,7,0,0,0,0,0
614,0,42,0,149,108,57,209,67,0,151,0,191
615,0,362,0,1146,125,51,282,168,0,89,0,199
616,0,0,0,0,10,0,3,0,0,0,0,0
617,0,0,0,10,0,0,0,0,0,0,0,0
618,0,0,4,0,7,0,3,0,0,0,0,0
619,0,0,0,9,0,0,0,0,0,0,0,0
620,0,1,0,0,0,0,24,0,0,0,0,0
