GEOID,gq_pop,hh_child,hh_pop,hh_senior,hh_tot,inc_med,inc10,inc100,inc125,inc15,inc150,inc20,inc200,inc200p,inc25,inc30,inc35,inc40,inc45,inc50,inc60,inc75,veh_tot,veh0,veh1,veh2,veh3,veh4,veh5
150030062012,24,747,2317,351,605,41141,13,64,6,38,0,49,41,30,88,35,24,45,43,18,39,72,847,99,332,91,41,12,30
150030062013,0,55,413,35,132,96875,16,18,33,7,0,0,14,16,0,0,0,0,17,0,0,11,224,16,45,41,23,7,0
150030062014,0,355,991,106,225,22091,18,33,15,0,0,51,33,0,65,10,0,0,0,0,0,0,222,97,67,28,33,0,0
150030062021,0,601,1476,111,340,36750,78,19,26,9,0,25,0,0,22,18,11,24,30,4,43,31,370,77,156,107,0,0,0
150030063011,76,275,1286,229,299,94306,9,28,33,10,52,0,15,37,10,3,0,14,25,6,15,42,648,14,70,111,77,10,17
150030063012,0,300,1640,297,273,115096,5,21,42,13,10,32,45,53,0,3,19,9,5,0,6,10,585,19,74,82,71,7,20
150030063013,0,315,1411,201,251,98563,0,62,30,4,20,5,39,25,0,22,5,0,6,12,16,5,626,34,30,75,38,50,24
150030063021,91,1136,2922,309,622,43261,41,30,57,22,5,55,15,29,17,63,70,30,29,23,50,86,844,157,214,170,46,29,6
150030064011,55,675,2450,271,419,97009,0,54,21,14,65,5,47,71,18,0,0,33,17,0,29,45,1084,5,76,148,95,60,35
150030064021,0,328,1705,325,392,95000,12,53,38,0,44,37,48,53,13,44,9,13,0,0,13,15,842,27,128,101,67,41,28
150030064022,120,266,2352,432,550,103750,33,55,41,0,48,0,111,75,25,0,0,37,0,49,20,56,1182,57,168,150,61,61,53
150030064023,26,437,2427,480,509,103977,0,80,94,0,69,12,25,73,33,0,0,0,6,11,85,21,1177,44,127,140,90,53,55
150030065001,5,267,1280,206,388,67321,0,45,33,17,29,0,37,41,12,19,7,19,0,29,55,45,792,22,102,168,66,7,23
150030065002,33,687,3461,475,688,126848,0,56,123,0,144,9,104,113,0,30,0,0,17,0,31,61,1821,30,136,149,163,172,38
150030066001,244,152,494,5,155,131719,6,31,20,0,42,0,25,16,4,0,0,0,11,0,0,0,391,0,16,84,17,34,4
150030067011,39,438,2047,575,633,118988,18,112,60,0,63,8,173,65,0,0,8,10,10,22,18,66,1419,9,102,330,125,60,7
150030067012,0,307,2008,719,724,75781,0,70,57,8,40,10,71,134,9,37,27,39,27,78,50,67,1547,35,154,360,96,40,39
150030067013,203,441,1939,433,468,113143,54,36,109,0,31,0,70,70,0,8,9,0,0,22,9,50,1326,0,59,153,110,103,43
150030067021,3,708,2638,311,1148,64615,86,181,146,33,49,29,25,73,64,48,103,58,83,17,31,122,1537,180,492,383,93,0,0
150030068021,124,400,2409,513,458,111818,0,85,69,0,6,2,46,137,7,0,8,0,14,42,14,28,1179,33,67,169,78,53,58
150030068022,0,646,2265,296,583,102691,22,77,79,34,73,11,19,125,13,17,0,19,13,6,24,51,1247,19,131,287,100,7,39
150030068023,105,592,3550,586,609,124028,8,106,86,0,115,0,59,120,7,33,0,6,0,26,8,35,1793,7,97,183,120,118,84
150030068041,0,360,778,0,222,50673,22,49,0,0,0,0,0,0,0,0,0,0,68,14,32,37,436,0,28,174,20,0,0
150030068042,0,1245,2811,24,831,66031,0,169,124,0,7,0,4,23,12,13,40,117,68,75,35,144,1454,17,292,418,90,14,0
150030068043,0,868,1881,19,487,68967,0,48,91,7,58,8,5,6,0,9,23,59,32,0,7,134,1005,0,97,287,78,25,0
150030068051,0,41,194,81,50,NA,0,0,0,0,0,0,23,0,0,0,0,13,14,0,0,0,110,0,13,14,23,0,0
150030068052,17,254,1552,520,594,89338,0,129,58,0,52,0,53,103,0,18,19,0,14,0,71,77,1238,0,253,177,46,97,21
150030068053,82,847,4354,730,1811,77375,135,176,317,50,165,0,181,114,73,0,36,79,70,29,95,291,2908,109,712,850,76,52,12
150030068061,23,324,1912,712,566,100909,0,123,80,5,75,0,51,81,18,0,0,23,6,20,25,59,1355,30,86,231,108,72,39
150030068081,0,369,2010,373,762,68600,45,149,135,27,31,0,41,0,24,26,12,37,29,0,103,103,1089,47,417,240,40,18,0
150030068082,0,104,988,210,499,53036,0,57,35,0,42,7,0,0,29,81,25,29,9,33,49,103,517,84,313,102,0,0,0
150030068083,0,410,1726,169,704,56646,67,103,58,18,8,28,43,0,57,7,12,33,15,54,75,126,1006,40,329,328,7,0,0
150030068091,0,594,3079,407,1011,77799,49,193,148,17,87,39,86,0,0,17,34,22,70,41,66,142,1370,102,523,322,53,11,0
150030068092,0,576,2599,336,1050,58125,71,183,121,11,77,24,17,0,87,59,39,25,68,70,89,109,1382,129,525,331,65,0,0
150030069001,0,1580,3421,49,935,72875,47,198,103,0,35,0,83,6,12,49,40,112,86,9,23,132,1603,0,371,471,82,11,0
150030069002,0,343,732,0,234,61071,42,34,30,2,5,0,24,6,0,7,13,0,6,23,21,21,449,0,75,110,42,7,0
150030070001,0,818,2278,0,796,58824,38,81,130,0,31,11,46,10,0,0,40,52,56,131,86,84,1127,12,473,283,24,4,0
150030070002,0,422,1509,0,586,60662,13,87,13,9,112,31,0,0,10,0,55,9,45,41,71,90,1082,0,150,394,24,18,0
150030070003,0,202,532,0,178,58864,9,14,10,6,0,4,9,0,0,0,19,33,1,11,11,51,233,0,132,37,9,0,0
150030071001,5,1492,3339,0,921,73885,12,113,172,15,51,0,106,2,19,28,24,82,34,39,88,136,1585,0,350,502,52,10,7
150030073021,0,1085,3159,22,1072,64327,24,209,63,0,45,0,45,65,61,29,46,128,107,16,60,174,1778,30,371,633,20,9,9
150030073022,0,1047,2323,0,590,102955,0,113,154,0,65,0,54,24,19,19,10,0,0,0,65,67,1082,0,109,470,11,0,0
150030073031,432,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150030074001,2391,1100,2822,48,836,82877,17,199,136,10,35,7,94,25,21,13,60,11,12,11,127,58,1530,18,242,446,124,6,0
150030075021,775,4,11,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,0,0,0
150030075031,49,425,2954,600,852,124167,0,117,105,17,75,10,118,230,0,0,19,25,30,64,18,24,2099,27,186,301,136,127,75
150030075032,34,337,2185,409,682,111466,11,85,124,0,71,0,87,131,0,40,76,8,0,0,17,32,1565,19,136,288,141,75,23
150030075041,0,363,1599,267,374,77917,11,51,45,0,36,0,49,26,5,0,24,0,11,34,20,62,821,16,126,79,102,28,23
150030075042,0,608,1767,193,457,48750,20,25,56,61,27,18,20,35,24,0,56,11,11,31,31,31,619,122,190,68,45,17,15
150030075051,155,307,1964,528,542,114464,17,75,67,0,36,9,108,90,17,40,14,0,17,6,15,31,1228,19,132,237,54,59,41
150030075052,21,483,2716,468,691,117083,20,96,63,0,76,0,167,71,0,9,14,0,24,0,40,111,1679,35,86,320,124,85,41
150030075053,0,76,1052,95,476,85750,0,93,81,0,58,10,25,28,0,7,11,9,22,40,15,77,683,0,269,207,0,0,0
150030075061,0,434,807,10,192,116071,15,42,27,0,32,0,44,6,0,0,0,0,11,0,6,9,368,0,32,146,12,2,0
150030077011,0,505,2022,324,533,88375,9,124,38,0,49,0,64,39,27,25,17,42,18,43,18,20,1246,36,83,239,57,76,42
150030077012,20,197,1163,294,309,87344,27,51,62,26,16,9,17,39,21,0,0,0,7,8,9,17,628,26,122,60,55,17,29
150030077013,3,409,1160,105,303,89250,0,108,27,0,16,11,60,29,12,0,8,0,7,0,16,9,678,7,55,147,65,20,9
150030077021,11,90,279,55,91,NA,8,0,7,0,18,0,8,18,25,0,0,0,0,0,0,7,181,7,8,60,11,5,0
